84,"CH 2","CH 3","CH 4","CH 5","CH 6","CH 7","CH 8","CH 9","CH 10",IGCH,Name,Date,"Burial Date c.",Contents,Mints,Disposition,Bibliography,"Sort date",Location,Notes,
,,,,,,,,9.340,,1158,Samos,1894,"575-560 BC","60+ EL",,,"See H. Nicolet-Pierre and J.-N. Barrandon,  ‚ÄòMonnaies d‚Äô√©lectrum archa√Øques.  Le tr√©sor de Samos de 1894 (IGCH 1158) conserv√© √† Paris‚Äô, RN  152 (1997), pp. 121-135 for discussion of this hoard as evidence for denominational system.",575,E,,
,,,,,,,,9.339,,1157,Priene,"Before 1875","575 BC","9? EL","Samos: 3
Head of bird: 1
Eye: 1
Lion protome l.: 2
Lion head r.: 2",London,"For correction of contents and revision of date see J. Spier, Price Studies, pp. 327-34",575,E,,
,,,,,,,,9.333,,1154,"Ephesus, Artemision pot hoard",1904,"Third quarter 7th cent. BC",19EL,,Istanbul,"D. Williams, ‚ÄòThe ‚ÄúPot Hoard‚Äù Pot from the Archaic Artemision at Ephesus‚Äô, BICS 38 (1991-1993), pp. 98-103.
Weidauer: Probleme der fr√ºhen Elektronenpr√§gung. Freiburg 1975.",625,E,,
,,,,,,,,9.393,,,"unknown findspot",1983,"380 BC","‚ÄòHundreds‚Äô AR","Phaselis?: 1
Nagidos: 3 (Lederer III and VII)
Celenderis: 4 (Kraay 4)
Soloi: 4
Tarsus: 18
Mallos: 15
Issos: 10
Citium: 
Baalmelek: 2
Melekiathon: 3
Salamis: 
Evagoras I: 2
Uncert. Cyprus: 2 (lion/bull)","In commerce.","To be published by A. Meadows",380,E,,
,,,,,,,,,10.335,,"unknown Findspot",2005,"Early 1st cent. BC","‘Hundreds’ AR","Antiochus VII
Cappadocia: Royal isssues
Cappadocia: hundreds Antiochus VII imitations
Cappadocia: 196 Antiochus VII imitations (Lorber and Houghton Series I, issue 3)
Cappadocia: 2 Antiochus VII imitations (Lorber and Houghton Series II, issue 4)",Dispersed,"C.C. Lorber and A. Houghton, NC 166 (2006), p. 52, ‘Antiochus VII posthumous hoard’.",99,E,,
1.103,,,,,,,,,,,Syria,1970/1,"mid 1st","‘hundreds’ AR","late Seleucid",dispersed,,,,,
,,,,,,,8.392,,,,"Drama, Greece",1976,"187 - 168 B.C.","1 AR, 19 AE","Philip V: 1 AE
Amphipolis: 3 AE
Thessalonike: 2 AE
Macedonia: 1 AE
Rhodos: 2 AE
Illegible: 8 AE","Arch. Museum Kavalla, inv. no. N. 1121-1140.","I. Touratsoglou, The Coin Circulation in Ancient Macedonia (ca. 200 B.C. - 268-286 B.C.). The Hoard Evidence (Bibliotheka of the Hellenic Numismatic Society 1), Athens, 1993, p.49, no. 16.",,,,
,,,,,,,,9.162,10.074,,"Vergina, Macedonia, Greece",1994,"274/3 BC","1 AR, 22 AE","Philip III: 1 dr.
Cassander: 4 AE (as SNG Cop. 1142-53)
Demetrius Poliorcetes: 3 AE as SNG Cop. 1224-8
Antigonus Gonatas: 15 AE as SNG Cop. 1222-3","Thessaloniki Archaeological Museum","Now published by Chr. Gatzolis, ‘Two Hellenistic hoards from Macedonia’, Ὀβολός 4 (2000), pp. 103-126, 103-107.",274,C,,
,,,,,,,,,10.270,,"Germiyan, Izmir, Turkey",2002,"230-200 BC","1 AR, 227 AE","Erythrae: 1 hemidr. (as BMC 101)
227 AE (Herakles/magistrate’s name)","Çeşme Museum","M. Arslan, Belleten 70 (2006), pp. 27-62, pl. 1.",230,E,,
,,,,,,,,9.548,,,Ascalon,1988,"100 BC","1 AR, 46 AE from excavations","Teos: 1 AE
Samos: 17 AE, 1 AR
Cos: 5 AE
Cnidus: 1 AE
Rhodes: 12 AE
Lycian League: 4 AE
Side: 1 AE
Tyre: 1 AE
Antiochus II 
Antioch: 1 AE
Demetrius I-II: 1 AE 
Antiochus VII: 1 AE
Ptolemy IX/X 
Cyprus: 1 AE",,"H. Gitler, below 000-000",100,E,,
,,,,,,,8.217,,,,"Nikisiani, Macedonia, Greece
Tomb ST",,"305 - 297 BC","1 AR, 64 AE, Tomb ST","Macedonia: Alexander III: 1 AR (dr.), 63 AE
Illegible: 1 AE",,"BCH 116 (1992) II, p. 908; D. Lazaridis, K. Rhomiopoulou & I. Touratsoglou, o tumboß thß Nikhdianhß, Biblioqhkh thß en 'Aqhnaiß Aegaioloziahß Etaireiaß 121 (1992)",,,,
,,,,,,,,,10.111,,"Chortolivado, Abdera, Greece",1997,"First half of 2nd cent. BC","1 AU, 1 AR, 6 AE in excavation","Abdera: 3 AE
Orthagoreia: 3 AE
Thasos: 1 AU
Rhodes: 1 AR (plated)",Abdera,"K. Chryssanthaki-Nagle, L'Histoire Monetaire d'Abdère en Thrace (VIe s. avant J.-C.-IIe s. après J.-C.). Meletemata 51 (Athens, 2007), pp. 80-82, pl. 5.",200,C,,
,,,,5.032,,,,,,,"Kupa, Scutari, Albania","pre 1939",270,"1 AU; 21 AR","Philip II
Gortyna
Phaestus
Cydonia
Miletus",,"G. Gorini, ‘ The Kupa Hoard’, in CH V, p. 32-33",,,,
,,,,,,,,,10.326,,Bassit,1978,"118 BC","10 AR","Alexander III
Temnos: 6 tetradrs. (Price -, 1676, 1678, 1681, 1690).
Alabanda: 3 tetradrs. (Price 2459, 2463-4)
Antiochus VIII
Damascus: 1 tetradr. SE 194 (119/8 BC)",Aleppo,"G. Le Rider, ‘Un trésor de Bassit’, BCH 107 (1983), pp. 451-456.",118,E,,
,,,,,,,8.476,,,,"Bassit, Syria",1978,"118 BC, after","10 AR","Alexander III, Temnos: tetradr. (6)
AlexanderIII, Alabanda: tetradr. (3)
Antiochus VIII, Damascus: tetradr.(1), 119/8 B.C. (Newell, LSM, pp. 63-4, 94)",,"G. Le Rider, 'Un trésor de Bassit (1978)', BCH 107 (1983) pp. 451-456",,,,
,,,,,,,8.116,,,,unknown,"before 1959","350 BC","10 AR","Parion: 10 hemidr. (including SNG Delepierre 2529)","Paris (1)","SNG Delepierre Hoard Index",,,,
,,,,,,,8.079,,,,"Bayrakli (old Smyrna), Turkey",1986,"400 - 375 BC","10 AR, excavation find","Persian Sigloi of types Carradice IIIb (late) (2) and IV (late) (8)","Izmir Archaeological Museum, inv. nos. 12, 315 - 12, 324","P. Aydemir, in Ashton, R. (ed.) ""Studies in ancient coinage from Asia Minor"" (forthcoming)",,,,
,,,,,,,,,10.046,,"Radomir, Bulgaria",1983,"317-316 BC","10 AU","Alexander III
Macedonia: 2
Sardes: 1
Miletus: 1
Unknown Asia Minor: 1
Salamis: 2
Sidon: 1
Ake/Tyre: 1
Unknown: 1","National Historical Museum, Sofia","B.Rousseva,’ДВА Фрагмента от Златни СЪКРОВИЩЕ Със Статери, Намерени Около Перник ив Радомирско’, Нумизматика и Сфрагистика 6. 2 (1999), pp. 3-12 with pls. I-II and summary in French. Rousséva, posits that this is part of a larger hoard and may be connected to the Pernik hoard discussed in the same article.",317,C,,
,,,,,,,8.600,9.334,,,Clazomenae,1989,"600-550 BC","10 EL, pot hoard, found in excavation","CH 8: staters, new types: two men holding cantharos/patterned incuse (3); two men boxing? between lotus/patterned incuse (1); lion forepart and bull forepart back to back (3); lion head with bull head back to back (1); two griffins seated facing (1); Pegasus standing r. (1) Some people doubt the authenticity of these coins.",,"CH 8: E. Ihik, Elektronstatere aus Klazomenai. Der Schatzfund von 1989. Saarbrücker Studien zur Archäologie und Alten Geschichte, vol. V., A. Furtwängler, F. Hiller and P.R. Franke (eds.), Saarbrücken (1992)
Review of Ihik by S. Hurter in SNR 1993, pp. 201-206 
CH 9: J. Spier, NC (1994), pp. 300-302. Cf.
G. Le Rider, ‚'Un curieux trésor de monnaies d'electrum trouvé à Clazomènes', CRAI (1994), pp. 945-953.
A. Furtwängler, AA 29 (1995), pp.442-450.",600,E,"Mints in CH 8, more bibliography in CH 9.",
,,,,,,,8.544,,,,Caria?,1990?,"30 - 20 BC","10+ AR","Tabai: 9 dr. (Robert G, H, I, L and Auctiones 7, 1977, 270)
Adramytion: 1 dr. (von Fritze no. 6)",dispersed,"R. Ashton, in R. Ashton (ed.), Studies in ancient coinage from Asia Minor (forthcoming)",,,,
,,,,,,7.047,,,,,Turkey,1978,325,"10+ AR",Sinope,"in commerce","fig. 2",,,,
,2.040,,,,,,,,,,Turkey,1975,350,"10+ AR","Athens (or imit)",dispersed,"fig. 6",,,,
,,,,,,,8.578,,,,"Near Tutrakan, Bulgaria","before 1954","c. 270 BC","10+ AR","Macedonia, Alexander III: 7 tetradr.; 1 dr.
Macedonia, Philip II: 2 tetradr., imitations","Museum of History and Art Varna","K. Dimitrov, 'Early Hellenistic hoards of Alexander-type silver coins from the museum of history and art in Varna', Etudes balkaniques 3 (1989), pp. 87-110.",,,,
1.004,,,,,,,,,,,"South Anatolia",1971,"c. 500","10+ AR","Lete
Dicaea by Abdera
Lycia
Asia Minor
Salamis
Cyprus incert.
Uncertain",Ashmolean,"E.S.G. Robinson, RN 1973, 229-237",,,,
,,,,,,,,9.541,,,"unknown findspot","before 1980","Late 2nd cent. BC","10+ AR","Alexander III
  Perga: 4 tetradrs.

Side: 1 tetradr.

Antiochus VIII
Ake: 5 tetradrs.","In commerce","A. Davesne and A. Lemaire, ‚ÄòTr√©sors hell√©nistiques du Proche-Orient‚Äô, RN  151 (1996), pp. 51-76, no. 3.",125,E,,
,,,,,,,,,10.055,,"Thessaly, Greece",1973,"300-275 BC","100 AR","Alexander III
Amphipolis: 59
Pella?: 8
Uranopolis: 1
Lampsacus: 1
Miletus: 1 Sardes: 1
Soloi: 1
Aradus?: 1
Babylon: 10
Eastern Mints: 1
Uncertain: 2
Philip III Susa: 1
Seleucus: 3
Athens: 10",,"M. Oikonomidou, ‘Contribution à l'étude du monnayage d'Alexandre le Grand: à propos d'un trésor inédit du Musée numismatique d'Athènes’, Studia Paulo Naster I, (Louvain, 1982) pp. 89-96 with pls. 12-13.",300,C,,
1.073,,,,,,,,,,,"Asia Minor",1972,200,"100+ AR","Alexander III
Lysimachus
Demetrius Poliorcetes
Antigonos Gonatas
Seleucid
Attalid","in commerce, on file in BM",,,,,
,,,,,,,8.271,,,,"Karditsa, Greece",1973,"280 - 275 BC","100+ AR","Macedonia, Alexander III: 86 tetradr.
Philip III: 1 tetradr.
Seleucus I: 3 tetradr. (ESM 4 (2), WSM 1344)
Athens: 10 tetradr.","Athens Museum","BCH 113 (1989), p. 583; ArchDelt 35 (1980) p. 1; ArchDelt 40 (1985) [1990] p. 5; M. Oiconomidou, 'Contribution à l'étude du monnayage d'Alexandre le Grand. À propos d'un trésor inédit du Musée numismatique d'Athènes', Studia Paulo Naster I, (1982) pp. 89-98",,,,
,,,,,,,8.221,,,,Turkey?,1987,"305 -281 B.C. c.","100+ AR","Lysimachus: tetradr. 100+
Alexander III: tetradr. Miletus (Price 2150)
Corinth: (Price 677 (3), 681 (1), 694)
Peloponnese: 1 (Price 777)","in trade",,,,,
,,,,,,,8.152,,,,"Eastern Turkey or Syria",,"335 BC","100+ AR","Phoenician imitations of Athenian owls: 2 tetradr. (on cheek: 1 with aleph, 1 with kaph)","in trade","pl. XX, 6-7",,,,
,,,,,,,8.047,9.358,,,Ionia,1983,"445-435 BC","100+ AR",Teos,"In commerce?","D. MacDonald, ‚ÄòA note on CH VIII, no.47: Ionia 1983‚Äô, NC 155 (1995),pp. 321-323, pl. 50.",445,E,,
,,,,,,,8.047,,,,Ionia,1983,"460 BC","100+ AR","Teos: st. (down to Balcer, SNR (1968) 103)","in trade","pl. IV, 23-3-; pl. V, 1-2",,,,
,,,,,,,,,10.217,,"unknown Findspot (’Phygela’), Turkey",1990s,"400 BC","1000+ AE","Pitane
Colophon
Ephesus
Magnesia ad Maeandrum
Myus
Phygela
Priene
Chios
Samos
Halicarnassus",Dispersed,"This major hoard is noticed by P. Kinns, ‘Opuscula Anatolica III’, NC 164 (2004), pp. 71-107, at 71-2. R.H.J Ashton records part of the hoard in ‘The Beginning of Bronze Coinage in Karia and Lykia’, NC 166 (2006), pp. 1-14. For some specimens from the hoard see SNG Kayhan 70, 147-88, 368-71, 393-4, 488-9, 507-11, 543-83, 584-5 (?), 589 (?), 625, 648-62, 761.",400,E,,
,,,,,,,8.481,,,,"Myndus, Caria",1987,"100 BC","1000+ AR","Myndus: 188 half-dr.: 36+ 5 Alexander, 26 Amphiktyon, 5 Artemis, 17+ 2 Drakon, 6 Hierokles, 11+ 2 Kallikles, 3 Menodotos, 27+ 3 Menophilos, 9+ 3 Metrodoros, 4 Moiratos, 3+ 2 Nikokles, 10 Peithias, 1 Straton, 15+ 4 Symmachos, 10+ 2 Philon
Iasus: 3 half-dr.
Mylasa: 1 half-dr.
Halicarnassus: 33 half-dr.
Bargylia: 23 half-dr.","in trade","pl. LXIX, 1-43; pl. LXX, 1-38; pl. LXXI, 1-25
R.H.J. Ashton, NC 1992, p. 32",,,,
,,,,,,,8.281,,,,"Eretria, Euboea, Greece",1981,"260 BC","101 AR, in excavation, in cloth bag

281 and 282 found together","Macedonia, Alexander III: 1 tetradr. (Price 834); 18 dr.
Amphipolis (2), Lampsacus (2), Abydus, Colophon (2), Miletus, Magnesia, Sardes, Asia Minor ? (2), illegible (5)
Macedonia, Philip III: 1 dr. (Colophon)
Lysimachus: 1 dr. (Ephesus)
Euboean League: 78 dr. Athens: 1 tetradr. Antiochus I: 1 tetradr. (WSM 210, Cyme)","Eretria Museum","M. Oeconomides, ArchEph 122 (1983), pp. 138-147",,,,
,,,,,,,8.341,,,,"North West Turkey",1982,"200 BC.","103+ AE","Lot A) Abydus: 51 Artemis-Tyche/eagle with 13 overstuck on Apollo/eagle and 6 overstruck by reduced dies of same types

Lot B) Abydus: 52 of same types including 15 overstruck by reduced dies","in trade in Munich and London","lot A) D.O.A. Klose, AA (1985), pp. 67-76.
pl. XLIII, 7-25; pl. XLIV, 1-18 for lot B",,,,
,,,,,,,,9.507,,,Lebanon,1989,"175 BC","105 AR","Lysimachus tetradrs.:
Sestos: 1
Lampsacus: 3
Alexandria Troas:1
Amphipolis: 1
Pella: 1
Uncert.: 3
Byzantium: 1
Chalcedon: 1
Chios: 1
Lysimachia: 1
Aenos: 1
Philetairos: 4  (gr. III - VI)
Antiochus I: 
Seleuceia ad Tigrim: 3",Dispersed.,"G. Le Rider, ‚ÄòS√©leucos IV √† Ptol√©ma√Øs: le Tr√©sor du Liban 1989‚Äô, RN (1992), pp. 37-45",175,E,,
,,,,,,,8.419,9.238,,,Macedonia,1983,"170 BC","105? AR","CH 8: Bottiaea: 13 Macedonia: shield/helmet: 53 shield/ prow: 2 Rhodes and RHodes imitations: 21 Philip V: 5 dr. 7 half-dr. Perseus: 1 dr. Boeotia: 1 dr. Dyrrhachium: 1 The following look as if they may well have been part of the hoard: Peus 311 (31/10/84) 162-167, 196-198, 262-272, 282-283. Peus 313 (13/5/85) 38, 129-133.","In commerce","CH 9: On this hoard see further: R.H.J. Ashton, ‚ÄòPseudo-Rhodian Drachms from Central Greece‚Äô, NC 155 (1995), pp. 3, 6-7; id., ‚ÄòMore Pseudo-Rhodian Drachms from Mainland Greece‚Äô, NC 157 (1997), p. 190.",170,C,,
1.006,,,,,,,8.040,9.351,,,"Demirler Village, near ancient Pinara, Lycia, Turkey","c. 1972","475 BC","107 AR","CH 9: Lycia
Boar prot. l./ rough incuse:  6 st; 8 thirds
        Boar l./incuse: 2 thirds
        Boar prot. l./X incuse: 5 st; 7 thirds
        Boar prot. r./X incuse: 3 st; 5 thirds
        Winged boar prot. l./patterned incuse: 1 st.
        Boar prot. l./lion head l.: 4 st.
        Boar prot. r./lion scalp (inscribed): 2 st.
        Boar prot. r./ lion scalp (uninscr.): 2 st.
        Boar prot. l./lion scalp: 13 st; 1 third
        Boar prot. l./bull head (inscr.): 1 st.
        Boar prot. l./bull head (uninscr.): 1 st.
        Boar prot. r./triskeles: 6 thirds
        Boar r./lion head r.: 3 st.
        Boar?/lion prot. l.: 3 st.
        Boar l./lion prot. l.: 3 thirds
        Boar r./lion prot. l.: 1 st.; 1 third
        Boar prot. r./eagle head l.: 2 st.
        Boar prot. l./eagle head l.: 6 st.
        Boar prot. l./eagle head r.: 2 thirds
        Boar r./lion prot. r. (inscr.): 16 st.
        Panther r./winged horse prot. r.: 2 thirds
        Panther l. on plinth/winged horse l.: 1 third
","Fethiye Museum 107 (inventory nos. 2664-2770).","

CH 9.351: ",475,E,"CH 1.006: 'to be published by 0. Morkholm, Copenhagen.'

CH 8.040: 'To be published by Arslan, Ashton, Casey and Tek, Catalogue of the ancient coins of Fethiye Museum (forthcoming)'

Publication by Spier at al in CH 9.351.

Some mints given, along with possible association with CH 2.018, 4.009, 4.012 and 5.003 in CH 8.040. 

Fuller list of mints in CH.9.351. Spier et al. disassociate other hoards.",
,,,,,,,8.107,,,,"Düden, near Antalya, southern Turkey",1988,"350 BC","108 AR, pot hoard","Aspendus: (st.?)","Antalya Museum","Cumhuriyet, 15 November 1988, p. 14",,,,
1.015,,,,,,,,,,,"Black Sea","c. 1970",425,"108+ AR 7 hack","Segesta
Acanthus
Bisaltae
Thracian Chersonese
Athens
Lycia, Kuprilli
Side
Sole
Sinope
Tarsus?
'Paphos'
Persia
Hacksilver","Ashmolean and trade","Ashmolean Report 1970/1, 44 ff. illus.",,,,
,,,,,,,,9.189,,,Trikala,1979,"250 BC","109 AR","Alexander III tetradrs.
  Macedonia: 7
  ‚ÄòPella‚Äô: 1
  Amphipolis: 19
  Uranopolis ?: 2
  Sardes: 3
  Sardes ?: 2
  Side ?: 2
  Uncert. Asia Minor: 1
  Citium ?: 1
  Salamis: 1
  Ake: 2
  Aradus: 1
  Sidon: 1
  Uncert. Phoenicia/Syria: 1
  Babylon: 14
  Susa:  1
  Uncert. east:  1
  Illegible posthumous: 6
Philip III
  ‚ÄòBabylon‚Äô: 3
  Uncert. east: 1
Demetrius Poliorcetes
  Salamis: 1
Larissa: 1 dr.
Athens:  24 tetradrs.
Lysimachus
  Sestus: 1
  Lampsacus: 2
  Sardes: 4
  Alexadria Troas: 1
  Amphipolis: 1
  Pella ?: 1
Antigonus I or Seleucus I
  Carrhae: 1
Seleucus I
  Seleucia on Tigris: 1","Athens, Numismatic Museum","M. Oeconomides, ‚Äò The 1979 Tricala Hoard of Alexanders‚Äô, Price Studies, pp. 301-5.",250,C,,
,,,,,,,8.210,,,,Cilicia,1991,"310 BC",109+,"Tarsus: fr., including 46+ Baal/wolf forepart, 33+ Baal/eagle
Nagidus: 2+
Celenderis: 2+
Selge: 1+
Rhodes: 1

should all these be fr.?","in trade","pl. XXVII, 17-27; pl. XXVIII, 1-8",,,,
,,,,,,,,9.454,,,"Egret, Turkey (change g)",1954,"Late 4th cent. BC",10AR,"Alexander III drs.:
Lampsacus:  2
Colophon:  1
Magnesia:  1
Miletus:  1
Asia Minor:  1
Sardes: 1
Philip  III drs.:
Sardes: 3","Afyon (inv. nos. 1185 - 1194)","R. Ashton, M. √úy√ºmez, U. Hosg√∂ren, ‚ÄòFive Alexander Hoards in Afyon Museum‚Äô, NC 156 (1996), pp. 259-68, no. 80, pl. 41",325,E,,
,,,,,,,,9.490,,,"Gordion hoard 9",1967,"Mid 3rd cent. BC","11 AE in excavations","Seleucus I: 1 (?Antioch)
Antiochus II (all ctmkd. Œ¶): 
Sardes: 7
Uncert. mint:3",Ankara,"To be published by K.W. Harl in forthcoming volume of Gordion excavations.",250,E,,
,,,,,,,,,10.221,,"Çeltikçi, Burdur, Pisidia, Turkey",1978,"4th cent. BC","11 AR","Selge: 11 (Gorgoneion/Athena hd. r.)","Burdur Museum","H. Köker and O. Köyağasıoğlu, NC 166 (2006), p. 375, no. 37.",400,E,,
,,,,,,,,9.467,,,"Eynihan, Turkey",1974,"Late 4th/early3rd cent. BC","11 AR","Alexander III:
  Lampsacus: 1
  Abydus (?): 1
  Colopon: 2
  Miletus: 2
  Sardes: 1
  Magnesia: 1
Philip III:
  Magnesia: 1
  Uncertain: 1
Uncertain: 1","Afyon Archaeological Museum (inv. nos. 3053-3063","R. Ashton, M. Uyumez, U. Hosgoren, ‚ÄòFive Alexander Hoards in the Afyon Museum‚Äô, NC 156 (1996), pp. 259-68, no. 82, pl. 44.",300,E,,
1.053,,,,,,,,,,,Izmir?,1965,"early 3rd","11+ AE","Scepsis
Cebren
Cyzicus
Ephesus
Aegae
Alexandria Troas
Antandrus
Methymna","S.G.A. Shute collection","on file in BM",,,,
,,,,,,,,9.394,,,"unknown findspot","c. 1988/9","380 BC","112+ AR","Side: 4 (Atlan 6)
Nagidos: 5 (Lederer III and V)
Celenderis: 6 (Kraay 3 and 4)
Soli: 16 
Tarsus: 12
Mallos: 18
Issus: 20
Salamis:
Evagoras I: 31","In commerce.","See McGregor, Salamis, p. 288. To be published by A. Meadows.",380,E,,
,2.068,,,,,,8.287,,,,"Usak, Turkey",1966,"c. 250 BC","112+ AR","Rhodes: 107+ didr.
Ptolemy I: 2
Ptolemy II: 1 Sidon, 1 Ptolemais (256/5 B.C.), 1 Tyre (264/3 BC.)",dispersed,"To be published by Daniela Alecu. In addition to the 103 Rhodian coins recorded by Miss Alecu, R.H.J. Ashton adds 4 seen in Paris (BMC 31, BMC 34 (2), SNG Copenhagen 733). 3 others (BMC 27 (2), and BMC 31) may also be from the hoard. Casts of all 7 are in Mr. Ashton’s possession.

W. Leschhorn, Zu den rhodischen Didrachmen des 4. und 3. Jh. v. Chr., Der Schatzfund von Usak (Coin Hoards II 68), in Jahrbuch für Numismatik und Geldgeschichte 36, 1986 R. Ashton NC (1989), p. 13",,,"References to Alecu and Ashton in CH 2.
References to Leschorn and Ashton publication in CH 8.  ",
,,,,,,,8.367,9.214,,,"Perivoj (Klepecka)",1984,"2nd cent. BC","115 AE","2nd cent. BC, 115 AE",,"Cyme: 111 Pergamum: 1 Smyrna: 1 Mesembria: 1 Clazomenae: 1",,"CH 9: Now published by P. Popovic, ‚ÄòBronze Coin hoard from Kyme‚Äô, Numizmaticar 18/19 (1996), pp. 5-12 (the coins are AE, not AR as stated in CH 8).",200,C
,,,,,,,8.282,,,,"Eretria, Euboea, Greece",1981,"260 BC","117 AR, in excavation, pot hoard

Found with 281","Macedonia, Alexander III: 10 dr. Lampsacus 1, Abydus, Colophon 2, Asia Minor 5, illegible 1
Macedonia, Philip III: 1 dr. (Sardes)
Lysimachus: 3 tetradr. (Lampsacus, Aenus), 1 dr. (Ephesus)
Demetrius Poliorcetes: 1 tetradr. (Newell 149)
Euboean League: 93 dr.
Athens: 7 tetradr.
Antiochus I: 1 tetradr. (as ESM 157, Seleuceia ad Tigrim)",,"M. Oeconomides, ArchEph (1983) pp. 138-147",,,,
1.038,,2.049,,,,,8.188,,,,"Babylon, Iraq",1973,323,"118+ AR & 29+ AR (two lots) (CH 8: 300+ AR)","CH 1:
Lot A 118+AR
Alexander III: decadr. at least 4
tetr. 114+ (mainly of mint of Babylon)

Lot B 29+AR
Alexander III; 'Porus' decadr. at least 3
"" "" tetr. 7+ (archer/elephant)
"" "" St. 1 (elephant with rider/archer)
Lion St. 9+ and fractions 2+
Athens imit. (Mesopotamia) 4+
"" "" (Egypt) Artaxerxes III 1; Sabaces 1
Uncertain st. (std. Baal/King and lion)

CH 8:
Macedonia, Alexander III:
8 decadr.
7 5-shekel
11 2-shekel
3 ""Indian"" 2-shekel
Lion st.: 206
Hierapolis - Bambyce?: 1
Memphis: 2 (imitation Athenian owl)
Babylon: 138 (imitation Athenian owl)
Phoenicia: 21 tetradr. (imitation Athenian owl)
2 dr.
Sardes: 1 siglos
Macedonia, Philip II: 1
Cos: 1","in commerce","N. Dürr, SM 94 May 194, 33-6
‘Nationalmuseets Arbejdsmark 1974, 94-5

The Artaxerxes III tetr. and other coins published in. NC 1974,1—4

M.J. Price, 'Circulation at Babylon in 323 BC', in Mnemata: Papers in Memory of Nancy M. Waggoner, W.E. Metcalf (ed.), 1991, pp. 63-72",,,"CH 1.038: 'to be published by NM Waggoner'. Description of mints for Lots A and B given.

Reference to NC in CH 2.049.

Further information on mints and reference to Price in CH 8.188.



",
,,,,,,,,,10.286,,"Çamlık Köy (Cremna), Pisidia, Turkey",1979,"2nd-1st cent. BC","12 AE","Cibyra: 8
(Helmeted hd./bull r.: 5)
(Male hd. /bull r.: 1)
(Demeter/bullr.: 2)
Comama: 1 (Zeus/lion)
Rhodes: 1 (Rose/rose)
Uncert.: 1 (Horse head/ram)","Burdur Museum","H. Köker and O. Köyağasıoğu, NC 166 (2006), p. 376, no. 46, where the summary suggests a total of 12 coins, but 11 are listed.",200,E,,
,,,,5.041,,,,,,,"Ionia, Turkey",1978,190,"12 AR","Antiochus III
Ephesus","in commerce",,,,,
,,,,,,,8.322,,,,"Cassandrea, Macedonia",1985/87,"220 B.C. c.","12 AR","Macedonia, Alexander III: tetradr. Parium 1, Chios 1, Samos 1, Mesembria 1
Antigonus Gonatas: 3
Antigonus Doson: 2
Hierax: 2
Antiochus II: 1
","in trade","pl. XXXVIII, 13-17; pl. XXXIX, 1-7",,,,
,,,,,,,,,10.031,,"Crete, Greece","before 1915","325 BC","12 AR","Cnidus: 12 dr.","Heraklion Museum (inv. 873-884)","R.H.J. Ashton, NC 163 (2003), p. 341, no. 24.",325,C,,
,,,,,,,8.114,,,,unknown,"before 1957","350 BC","12 AR","Lesbos, Methymna: 2 (SNG Delepierre 2573, 2574)",Paris,"SNG Delepierre, Hoard Index",,,,
,,,,,,,,9.403,,,Ürkütlü,"before 1994","370-360 BC","12 AR","Aspendus: 11 st.
Selge: 1 st.",Burdur,"GCHT, p. 31, nos. 670-81.",370,E,,
,,,,,,7.028,,,,,"Near East",1966,"4th cent.","12 AR","Sardes sigloi 12",,"H.M.F. Schulman 14.6.67, 210-11",,,,
,,,,,,,,9.376,,,Chios,"before c. 1820","Early 4th cent. BC","12 AR","Chios: 11 st (2 amphora, 9 grapes)
Rhodes:  1  tetradr. (1 sphinx)",Dispersed.,"N. Hardwick: The Coinage of Chios from the VIth to the IVth century B.C., T.Hackens and Gh. Moucharte (eds.): actes du XIe Congr√®s International de Numismatique, Bruxelles, septembre 1991, (Louvain-la-neuve, 1993), vol.I, pp. 215, n.31; id.: The Solution to Thucydides viii.101.1: the Chian Fortieths,‚Äô QT 25 (1996), p.63. 
000-000",400,E,,
,,,,,,,,9.337,,,Ephesus,1970,"575 BC","12 EL","Lydia: 10 thirds; 1 sixth
Stag forepart: 1 twelfth","In commerce","J. Spier, Price Studies, pp. 327-34",575,E,,
,,,,,,,,,10.115,,"Macedonia or Thrace?",2005-6,170,"12+ AR","Rhodes: 5 dr.
Rhodes imit.: 7",Dispersed,"R.H.J. Ashton, NC 166 (2006), pp. 374-5, no. 35.",170,C,,
,2.127,,,,,7.146,,,,,"Marmaris, Caria, Turkey",1975,"late 1st","12+ AR","CH 2: Rhodes 12 dr. as SNG v A 2840

CH 7: Rhodes 1 (further acquired in the Marmaris).","in commerce; E. Keckman Collection, Finland.","R.H.J. Ashton with A.-P.C. Weiss, ‘The Post-Plinthophoric Silver Drachms of Rhodes’, NC 1997, pp. 37-38",,,,
,2.127,,,,,7.146,,9.582,,,"Marmaris, Caria",1975,"Late 1st cent. BC","12+ AR","Rhodes drs.","Private collection","Nine specimens from this hoard are published by R.H.J. Ashton with A.-P.C. Weiss, ‚ÄòThe Post-Plinthophoric Silver Drachms of Rhodes‚Äô, NC (1997), pp. 1-40 at 37-39, pls. 15-16.",25,E,,
,,,,,,,,9.392,,,"unknown findspot",1980s,"380 BC","120+ AR","Caunos: 120+ st. (‚ÄòIris‚Äô/baetyl)","New York 37, dispersed","K. Konuk, Price Studies, pp. 197-223, at 217.",380,E,,
