"CH 1","CH 2","CH 3","CH 4","CH 5","CH 6","CH 7","CH 8","CH 9","CH 10",IGCH,value,type,source
,,,,,,,8.033,,,,"5 in the National Historical Museum, Sofia; rest dispersed",Disposition,8.033
,,,,,,,8.033,,,,"J. Youroukova, Archeologia 1-2 (1981) pp. 126-130",Reference,8.033
,,,,,,,8.033,,,,"in heap, excavation",Note,8.033
,,,,,,,8.036,,,,"seen in trade",Disposition,8.036
,,,,,,,8.036,,,,"F. Becker, 'Ein Fund von 75 milesischen Obolen'SNR 67 (1988), pp. 1 -33",Reference,8.036
,,,,,,,8.039,,,,"seen in trade, part of a much larger hoard",Disposition,8.039
,,,,,,,8.039,,,,"pl. IV, 18-22",Reference,8.039
,,,,,,,8.043,,,1277,"M. Amandry,'A propos du trésor de Chypre, 1934/35 (IGCH1277)', Centre d'Etudes Chypriotes, cahier 6(1986), pp. 37-38.",Reference,8.043
,,,,,,,8.043,,,1277,"The Lycian quarter stater of Kheriga and the Thasos three quarter obol are intrusive - must be part of CH 8.042/ IGCH 1272.",Note,8.043
,,,,,,,8.047,,,,"in trade",Disposition,8.047
,,,,,,,8.047,,,,"pl. IV, 23-3-; pl. V, 1-2",Reference,8.047
,,,,,,,8.050,,,,"in trade",Disposition,8.050
,,,,,,,8.054,,,,"in trade",Disposition,8.054
,,,,,,,8.054,,,,"pl. V, 14-20",Reference,8.054
,,,,,,,8.057,,,,"sold by Rollin & Feuardent; 2 pieces in Lewis Collection, Corpus Christi College, Cambridge, now on deposit in the Fitzwilliam Museum.",Disposition,8.057
,,,,,,,8.057,,,,"C.W. King, On a Mummy's Treasures recently discovered in the Delta, in Cambridge Antiquarian Communications of the Cambridge Antiquarian Society, vol. 4 (1876-1880), pp. 385-390.",Reference,8.057
,,,,,,,8.068,,,,"most in BM",Disposition,8.068
,,,,,,,8.071,,,,"in trade",Disposition,8.071
,,,,,,,8.071,,,,"as BMC Mysia, p. 24, nos. 1-5, pl. XXI 6",Reference,8.071
,,,,,,,8.072,,,,"in trade",Disposition,8.072
,,,,,,,8.073,,,,"in trade",Disposition,8.073
,,,,,,,8.073,,,,"photos in BM",Note,8.073
,,,,,,,8.079,,,,"Izmir Archaeological Museum, inv. nos. 12, 315 - 12, 324",Disposition,8.079
,,,,,,,8.079,,,,"P. Aydemir, in Ashton, R. (ed.) ""Studies in ancient coinage from Asia Minor"" (forthcoming)",Reference,8.079
,,,,,,,8.079,,,,"excavation find",Note,8.079
,,,,,,,8.082,,,1231,"4 in British Museum (in addition to IGCH 1231)",Disposition,8.082
,,,,,,,8.082,,,1231,"NC (1922 & 1923)",Reference,8.082
,,,,,,,8.084,,,,"Amasra Museum (inv. nos. S/72.3.12-24)",Disposition,8.084
,,,,,,,8.084,,,,"S. Ireland, Studies in Ancient Coinage from Asia Minor, R. Ashton (ed.), forthcoming",Reference,8.084
,,,,,,,8.090,,,1747,"Found with other objects",Note,8.090
,,,,,,,8.090,,,1747,"British Museum",Disposition,8.090
,,,,,,,8.090,,,1747,"J. Reade, 'A hoard of silver currency from Achaemend Babylon', Iran XXIV (1986), pp. 79-88 at p. 88.",Reference,8.090
,,,,,,,8.090,,,1747,"J. & A. Elayi, ‘Trésor d’Époque Perse de la région d’Arward’, RN 1990, p. 14, n. 24.",Reference,8.090
,,,,,,,8.094,,,,"Dispersed. 23 at the Fitzwilliam Museum, Cambridge",Disposition,8.094
,,,,,,,8.094,,,,"K. Butcher, Coin Hoards 8, p. 73-4.",Reference,8.094
,,,,,,,8.094,,,,"pl. VII, 6-37; pl. VIII, 1-3",Reference,8.094
,,,,,,,8.099,,,1263,ANS,Disposition,8.099
,,,,,,,8.099,,,1263,"A. Destrooper-Georgiades, ' Two Cilician Hoards of the fourth century', RBN 134 (1988), pp. 19 - 39. ",Reference,8.099
,,,,,,,8.099,,,1263,"J. & A. Elayi, ‘Trésor d’Époque Perse de la région d’Arward’, RN 1990, p. 14, n. 24.",Reference,8.099
,,,,,,,8.100,,,,"Paris, collection Delepierre",Disposition,8.100
,,,,,,,8.100,,,,"A. Destrooper-Georgiades, ' Two Cilician Hoards of the fourth century', RBN 134 (1988), pp. 19 - 39.",Reference,8.100
,,,,,,,8.102,,,,"in trade",Disposition,8.102
,,,,,,,8.102,,,,"pl. VIII, 4-10",Reference,8.102
,,,,,,,8.106,,,,"Adana Museum, on display (1990)",Disposition,8.106
,,,,,,,8.107,,,,"Antalya Museum",Disposition,8.107
,,,,,,,8.107,,,,"Cumhuriyet, 15 November 1988, p. 14",Reference,8.107
,,,,,,,8.107,,,,"Pot hoard",Note,8.107
,,,,,,,8.111,,,,Paris,Disposition,8.111
,,,,,,,8.111,,,,"SNG Delepierre, Hoard Index",Reference,8.111
,,,,,,,8.112,,,,"Sotheby Cat. 20/6/ 1848, p. 157",Reference,8.112
,,,,,,,8.114,,,,Paris,Disposition,8.114
,,,,,,,8.114,,,,"SNG Delepierre, Hoard Index",Reference,8.114
,,,,,,,8.116,,,,"Paris (1)",Disposition,8.116
,,,,,,,8.116,,,,"SNG Delepierre Hoard Index",Reference,8.116
,,,,,,,8.121,,,,"in trade",Disposition,8.121
,,,,,,,8.121,,,,"The Clark E. Adams and Norman Applebaum Collections. Superior Galleries, New York, Dec. 11-12, 192, lot 2234.",Reference,8.121
,,,,,,,8.126,,,,"in trade",Disposition,8.126
,,,,,,,8.122,,,865,"Galati History Museum",Disposition,8.122
,,,,,,,8.122,,,,"B. Mitrea, Pontica 14 (1981) p. 171-179",Reference,8.122
,,,,,,,8.127,,,,"in trade",Disposition,8.127
,,,,,,,8.127,,,,"pl. X, 6-10",Reference,8.127
,,,,,,,8.130,,,,"in trade",Disposition,8.130
,,,,,,,8.130,,,,"D.O.A. Klose, Von Alexander zu Kleopatra. Herrscherportrats der Griechen und Barbaren, Staatl. Munzsammlung Munchen (1992), p. 19, no. 15; ",Reference,8.130
,,,,,,,8.130,,,,"S. Schultz, 'Aphroditekopf oder Dynastenbildnes?', SM 1992, pp. 113-116.",Reference,8.130
,,,,,,,8.142,,,,"Aladjov-Collection, Munich",Disposition,8.142
,,,,,,,8.142,,,,"M. Alram, ‘Dareikos und Siglos. Ein neuer Schatzfund achaimenidischer Sigloi aus Kleinasien. Mit einem metrologischen Beitrag von St. Karwiese. Circulation des monnaies, des merchandises et des biens’ Res Orientales 5 (1993), pp. 23 ff.",Reference,8.142
,,,,,,,8.145,,,,Paris,Disposition,8.145
,,,,,,,8.145,,,,"SNG Delepierre 2748 and 2749",Reference,8.145
,,,,,,,8.152,,,,"in trade",Disposition,8.152
,,,,,,,8.152,,,,"pl. XX, 6-7",Reference,8.152
,,,,,,,8.153,,,,"HMF Shulman sales 9/12/1966, 275-80.",Reference,8.153
,,,,,,,8.155,,,,"Berlin Museum",Disposition,8.155
,,,,,,,8.155,,,,"S. Schultz, Coin Hoards 8, p. 75-9.",Reference,8.155
,,,,,,,8.157,,,,"in trade",Disposition,8.157
,,,,,,,8.157,,,,"pl. XX, 23-29",Reference,8.157
,,,,,,,8.158,,,,dispersed,Disposition,8.158
,,,,,,,8.158,,,,"M. Price in: Essays Carson-Jenkins pp. 31-55",Reference,8.158
,,,,,,,8.164,,,,"in trade",Disposition,8.164
,,,,,,,8.164,,,,"pl. XXI, 1-20",Reference,8.164
,,,,,,,8.165,,,,"in trade",Disposition,8.165
,,,,,,,8.165,,,,"XXI, 21-26; pl. XXI, 1-24; pl. XXIII, 1-11",Reference,8.165
,,,,,,,8.168,,,1654,"1 in Hermitage, St. Petersburg",Disposition,8.168
,,,,,,,8.168,,,1654,"""A.O. Bolshakov, 'The earliest known gold Pharaonic coin', Revue d' égyptologie 43 (1992), pp. 3 - 9.",Reference,8.168
,,,,,,,8.168,,,1654,"H. Nicolet-Pierre, ‘Xerxes et la Trésor de l’Athos (IGCH) 362’, RN 1992, p. 19""",Reference,8.168
,,,,,,,8.172,,,,"in trade",Disposition,8.172
,,,,,,,8.173,,,,Paris,Disposition,8.173
,,,,,,,8.173,,,,"SNG Delepierre Hoard Index",Reference,8.173
,,,,,,,8.178,,,,"in trade",Disposition,8.178
,,,,,,,8.178,,,,"XXIV, 13-24; pl. XXV, 1-24; pl. XXVI, 1-5",Reference,8.178
,,,,,,,8.185,,,,"in trade",Disposition,8.185
,,,,,,,8.186,,,,"in trade",Disposition,8.186
,,,,,,,8.186,,,,"pl. XXVI, 6-11",Reference,8.186
,,,,,,,8.187,,,,"in trade",Disposition,8.187
,,,,,,,8.187,,,,"Seen with a worn tetradr. of Philip III and 4 posthumous down to Price 3365.",Note,8.187
,,,,,,,8.191,,,409,"B. Mitrea, 'Le trésor de statères d'or de Codlea', in: S. Schers (ed.), Studia Paulo Naster oblata, I, pp. 65-74.",Reference,8.191
,,,,,,,8.193,,,,"in trade",Disposition,8.193
,,,,,,,8.193,,,,"pl. XXVI, 12-26; pl. XXVII, 1-6",Reference,8.193
,,,,,,,8.195,,,,"Archaeological Museum, Sofia; inv. no.: ccxxxvi-1979",Disposition,8.195
,,,,,,,8.195,,,,excavation,Note,8.195
,,,,,,,8.195,,,,"J. Youroukova, Archeologia 1-2 (1981) p. 126-130",Reference,8.195
,,,,,,,8.197,,,397,"Veliko Tarnovo",Disposition,8.197
,,,,,,,8.197,,,397,"""K. Dimitrov, 'Trésors monétaires en argent du iv e s.vav. J.C. conservés au Musée de Véliko Tàrnovo', Vekové 6 (1986), pp. 52-56. ",Reference,8.197
,,,,,,,8.197,,,397,"B. Rousséva, ‘La Circulation Monétaire en Thrace Pendant la Haute Époque Hellénistique d’Après un certain nombre de trésors trouvés en Bulgarie’, RN 1990, p. 21.""",Reference,8.197
,,,,,,,8.198,,,,"Cyprus Museum, Nicosia",Disposition,8.198
,,,,,,,8.198,,,,"A. Destrooper-Georgiades, 'Un ""trésor"" de monnaies de Pnytagoras de Salamine (Chypre) provenant de la région d'Anthienou-Arsos',Studia Paulo Naster oblata, I, p. 43-53",Reference,8.198
,,,,,,,8.201,,,,"Istanbul Museum",Disposition,8.201
,,,,,,,8.201,,,,"G. Le Rider, N. Olcay, ' Un trésor de tétradrachmes d'Alexandre trouvé à Akçakale en 1958', RN 1988, pp. 42-54",Reference,8.201
,,,,,,,8.203,,,,"G. Le Rider, 'Trésors de statères d'or trouvés à Potidée en 1984 et à Skioné en 1985', RN 1991, pp. 95-96",Reference,8.203
,,,,,,,8.205,,,,"in trade",Disposition,8.205
,,,,,,,8.207,,,,"in trade",Disposition,8.207
,,,,,,,8.210,,,,"in trade",Disposition,8.210
,,,,,,,8.210,,,,"pl. XXVII, 17-27; pl. XXVIII, 1-8",Reference,8.210
,,,,,,,8.212,,,859,"86 in Museum of History and Art Varna",Disposition,8.212
,,,,,,,8.212,,,859,"""K. Dimitrov, 'Early Hellenistic hoards of Alexander-type silver coins from the museum of history and art in Varna', Etudes balkaniques 3 (1989), pp. 87-110.",Reference,8.212
,,,,,,,8.212,,,859,"B. Rousséva, ‘La Circulation Monétaire en Thrace Pendant la Haute Époque Hellénistique d’Après un certain nombre de trésors trouvés en Bulgarie’, RN 1990, p. 23.""",Reference,8.212
,,,,,,,8.214,,,,"Kavalla Museum",Disposition,8.214
,,,,,,,8.214,,,,"BCH 116 (1992) II, p. 908; ",Reference,8.214
,,,,,,,8.214,,,,"D. Lazaridis, K. Rhomiopoulou & I. Touratsoglou, o tumboß thß Nikhdianhß, Biblioqhkh thß en 'Aqhnaiß Aegaioloziahß Etaireiaß 121 (1992)",Reference,8.214
,,,,,,,8.217,,,,"BCH 116 (1992) II, p. 908; ",Reference,8.217
,,,,,,,8.217,,,,"D. Lazaridis, K. Rhomiopoulou & I. Touratsoglou, o tumboß thß Nikhdianhß, Biblioqhkh thß en 'Aqhnaiß Aegaioloziahß Etaireiaß 121 (1992)",Reference,8.217
,,,,,,,8.220,,,,"Israel Museum?",Disposition,8.220
,,,,,,,8.221,,,,"in trade",Disposition,8.221
,,,,,,,8.225,,,,"T.S. Bayer, in: Commentarii Acad. Scientiarum Imperialis Petropolitanae, vol. 2, 1727 (29), pp. 434-458",Reference,8.225
,,,,,,,8.230,,,836,"B. Rousséva, K. Koev, 'Trésor monétaire hellénistique de Tutrakan (IGCH 836)', Numismatica 4 (1986), pp. 3-13.",Reference,8.230
,,,,,,,8.230,,,836,"B. Rousséva, ‘La Circulation Monétaire en Thrace Pendant la Haute Époque Hellénistique d’Après un certain nombre de trésors trouvés en Bulgarie’, RN 1990, p. 21, n. 18.",Reference,8.230
,,,,,,,8.236,,,,"in trade",Disposition,8.236
,,,,,,,8.238,,,,"in trade in London",Disposition,8.238
,,,,,,,8.238,,,,"pl. XXX, 15-36",Reference,8.238
,,,,,,,8.239,,,,"BCH 109 (1985) II, p. 844",Reference,8.239
,,,,,,,8.239,,,,"ArchDelt 31 (1976) [1984] Chron. p. 386",Reference,8.239
,,,,,,,8.239,,,,"ArchDelt 32 (1977) [1984] Chron. p. 344-373",Reference,8.239
,,,,,,,8.247,,,1345,"in Istanbul",Disposition,8.247
,,,,,,,8.249,,,,"M. Amandry, 'Le trésor monétaire du sondage 2a', Cahiers de Claros I, ed. J. de la Genière, (Paris, 1992), pp. 91-99.",Reference,8.249
,,,,,,,8.250,,,,"32 in private collection",Disposition,8.250
,,,,,,,8.250,,,,"M. Arslan and M.J. Price, p. 80",Reference,8.250
,,,,,,,8.250,,,,"pl. XXX, 37-38; pl. XXXI, 1",Reference,8.250
,,,,,,,8.255,,,,"in trade, London",Disposition,8.255
,,,,,,,8.256,,,,"M. Amandry, O. Callot, 'Le trésor de Failaka 1984 (Koweit)', RN 1988, pp. 64-74",Reference,8.256
,,,,,,,8.257,,,853,"Plovdiv, New York",Disposition,8.257
,,,,,,,8.257,,,,"Gerasimov, BIAB 14 (1940-2), p. 283",Reference,8.257
,,,,,,,8.257,,,,"Pot hoard",Note,8.257
,,,,,,,8.261,,,,"in trade",Disposition,8.261
,,,,,,,8.261,,,,"G. Le Rider, 'Trésors de statères d'or trouvés à Potidée en 1984 et à Skioné en 1985', RN 1991, pp. 89-94.",Reference,8.261
,,,,,,,8.266,,,1367,"seen in trade in 1983",Disposition,8.266
,,,,,,,8.266,,,1367,"SM (1971) pp. 21-2",Reference,8.266
,,,,,,,8.267,,,,"in trade",Disposition,8.267
,,,,,,,8.268,,,,Istanbul,Disposition,8.268
,,,,,,,8.268,,,,"G. Le Rider, N. Olcay, 'Le trésor de Haymana', RN 1988, pp. 55-63",Reference,8.268
,,,,,,,8.270,,,,"J.R. Mertens, 'A Hellenistic Find in New York', Metropolitan Museum Journal 11 (1979), pp. 71-84.",Reference,8.270
,,,,,,,8.270,,,,"Found with jewellery and bronze vessels",Note,8.270
,,,,,,,8.271,,,,"Athens Museum",Disposition,8.271
,,,,,,,8.271,,,,"BCH 113 (1989), p. 583.  ",Reference,8.271
,,,,,,,8.271,,,,"ArchDelt 35 (1980) p. 1.",Reference,8.271
,,,,,,,8.271,,,,"ArchDelt 40 (1985) [1990] p. 5.",Reference,8.271
,,,,,,,8.271,,,,"M. Oiconomidou, 'Contribution à l'étude du monnayage d'Alexandre le Grand. À propos d'un trésor inédit du Musée numismatique d'Athènes', Studia Paulo Naster I, (1982) pp. 89-98",Reference,8.271
,,,,,,,8.275,,,,"in trade",Disposition,8.275
,,,,,,,8.275,,,,"pl. XXXI, 3-17; pl. XXXII, 1-17; pl. XXXIII, 1-2",Reference,8.275
,,,,,,,8.275,,,,"part of a larger hoard",Note,8.275
,,,,,,,8.278,,,,"in trade",Disposition,8.278
,,,,,,,8.280,,,,"in trade",Disposition,8.280
,,,,,,,8.281,,,,"Found in excavation, in cloth bag",Note,8.281
,,,,,,,8.281,,,,"8.281 and 8.282 found together",Note,8.281
,,,,,,,8.281,,,,"Eretria Museum",Disposition,8.281
,,,,,,,8.281,,,,"M. Oeconomides, ArchEph 122 (1983), pp. 138-147",Reference,8.281
,,,,,,,8.282,,,,"Found in excavation, pot hoard",Note,8.282
,,,,,,,8.282,,,,"Found with 8.281",Note,8.282
,,,,,,,8.282,,,,"M. Oeconomides, ArchEph (1983) pp. 138-147",Reference,8.282
,,,,,,,8.293,,,,"Bolu Museum, on display",Disposition,8.293
,,,,,,,8.294,,,,dispersed,Disposition,8.294
,,,,,,,8.294,,,,"R.H.J. Ashton, CNR (1992/3) p. 4",Reference,8.294
,,,,,,,8.299,,,,"Roemer and Pelizaeus Museum, Hildesheim (?)",Disposition,8.299
,,,,,,,8.299,,,,"S. Gjongeacaj, Iliria 15 (1985), pp. 167 - 209.",Reference,8.299
,,,,,,,8.299,,,,"G. Le Rider, BCH CXIV (1990), pp. 545 -546.",Reference,8.299
,,,,,,,8.299,,,,"H. Nicolet, J. Kroll, AJN 2 (1990), pp. 30-1.",Reference,8.299
,,,,,,,8.302,,,,"G. Le Rider, N. Olcay, ' Le trésor de Tell Halaf (IGCH 1763)', RN 1989, pp. 25-40.",Reference,8.302
,,,,,,,8.305,,,,"in trade",Disposition,8.305
,,,,,,,8.305,,,,"Some countermarked",Note,8.305
,,,,,,,8.311,,,,"in trade",Disposition,8.311
,,,,,,,8.315,,,,"Istanbul 116",Disposition,8.315
,,,,,,,8.315,,,,"Some countermarked",Note,8.315
,,,,,,,8.315,,,,"G. Le Rider, N. Olçay in: Travaux et Recherches en Turquie II",Reference,8.315
,,,,,,,8.317,,,,"in trade",Disposition,8.317
,,,,,,,8.317,,,,"Giessener Munzhandlunb, 9 April 1992 (58), nos. 456 ff.",Reference,8.317
,,,,,,,8.318,,,245,"H. Nicolet, M. Oeconomides, 'La circulation monétaire dans le Péloponnèse dt le trésor de Zakynthos (Zante) de 1904 (IGCH 245)',QT 20 (1991) pp 161-185",Reference,8.318
,,,,,,,8.321,,,,"in trade in London",Disposition,8.321
,,,,,,,8.321,,,,"see pl. XXXIX, 8-15; pl. XL, 1-17; pl. XLI, 1-18",Reference,8.321
,,,,,,,8.322,,,,"in trade",Disposition,8.322
,,,,,,,8.322,,,,"pl. XXXVIII, 13-17; pl. XXXIX, 1-7",Reference,8.322
,,,,,,,8.324,,,1369,"Istanbul Museum",Disposition,8.324
,,,,,,,8.324,,,1369,"""G. Le Rider, N. Olcay, 'Le trésor de Kirazlı (près d'Amasya): IGCH 1369', Anatolia Antiqua Eski Anadolu 1987 (Varia anatolica I), ed. B. Rémy, Istanbul, Paris, 1987, pp. 24-34.",Reference,8.324
,,,,,,,8.324,,,1369,"G. Le Rider, ‘Les Trouvailles Monétaires dans le Temple d’Artémis à Sardes (IGCH 1299 et 1300)’, RN 1991, p. 82, note 28.""",Reference,8.324
,,,,,,,8.333,,,,"in trade",Disposition,8.333
,,,,,,,8.333,,,,"in two clay pots",Note,8.333
,,,,,,,8.341,,,,"in trade in Munich and London",Disposition,8.341
,,,,,,,8.341,,,,"lot A) D.O.A. Klose, AA (1985), pp. 67-76.",Reference,8.341
,,,,,,,8.341,,,,"pl. XLIII, 7-25; pl. XLIV, 1-18 for lot B",Reference,8.341
,,,,,,,8.343,,,1313,"British Museum",Disposition,8.343
,,,,,,,8.343,,,1313,"The coin of 'Erythrae' in the record is of Alexander III and the 'uncertain' is of Samos (as BMC 157).",Note,8.343
,,,,,,,8.346,,,,"see SNG Delepierre 2761 and 2763",Reference,8.346
,,,,,,,8.347,,,,"in trade",Disposition,8.347
,,,,,,,8.347,,,,"R.H.J. Ashton, NC 1989, pp. 8-9",Reference,8.347
,,,,,,,8.348,,,,"in commerce",Disposition,8.348
,,,,,,,8.348,,,,"R.H.J. Ashton, NC 1989, pp. 9-10",Reference,8.348
,,,,,,,8.353,,,,"in trade",Disposition,8.353
,,,,,,,8.358,,,,"This hoard was reported to be part of CH 8.417 (Lechaean, 1979)",Note,8.358
,,,,,,,8.358,,,,"in trade in London",Disposition,8.358
,,,,,,,8.366,,,,"in trade",Disposition,8.366
,,,,,,,8.366,,,,"Monetarium (SKAZ) 43, Spring 1985, 54-55",Reference,8.366
,,,,,,,8.366,,,,"Tkalec 15/4/85, 87-90",Reference,8.366
,,,,,,,8.366,,,,"Peus 313, 152-164",Reference,8.366
,,,,,,,8.370,,,,"in trade",Disposition,8.370
,,,,,,,8.370,,,,"Price, p. 542",Reference,8.370
,,,,,,,8.374,,,,"in trade",Disposition,8.374
,,,,,,,8.374,,,,"Kricheldorf 38   ",Reference,8.374
,,,,,,,8.374,,,,"Giessener 30 and 31",Reference,8.374
,,,,,,,8.374,,,,"Lanz 30 and 32",Reference,8.374
,,,,,,,8.374,,,,"Tkalec and Rauch 15.4 85",Reference,8.374
,,,,,,,8.374,,,,"SKAB Auction 3",Reference,8.374
,,,,,,,8.374,,,,"Sternberg XV and XVI,",Reference,8.374
,,,,,,,8.374,,,,"Berk 36 (2.4.85)",Reference,8.374
,,,,,,,8.374,,,,"Bankhaus Aufhauser 21.10.85",Reference,8.374
,,,,,,,8.376,,,,"B. Rousseva, Numismatika 3 (1984), pp. 5-23.",Reference,8.376
,,,,,,,8.392,,,,"Arch. Museum Kavalla, inv. no. N. 1121-1140.",Disposition,8.392
,,,,,,,8.392,,,,"I. Touratsoglou, The Coin Circulation in Ancient Macedonia (ca. 200 B.C. - 268-286 B.C.). The Hoard Evidence (Bibliotheka of the Hellenic Numismatic Society 1), Athens, 1993, p.49, no. 16.",Reference,8.392
,,,,,,,8.415,,,,"Fethiye Museum",Disposition,8.415
,,,,,,,8.415,,,,"M. Arslan, 'The Kargı hoard of Rhodian plinthophoroi"", in: Recent Turkish Coin hoards and Numismatic Studies, pp. 59-69.",Reference,8.415
,,,,,,,8.416,,,,"Pamukkale (Hierapolis) Museum, on display 1989",Disposition,8.416
,,,,,,,8.416,,,,"Pot hoard",Note,8.416
,,,,,,,8.417,,,,"in trade",Disposition,8.417
,,,,,,,8.417,,,,"CH 8.358 may be part of this hoard.",Note,8.417
,,,,,,,8.422,,,,"Dispersed. ",Disposition,8.422
,,,,,,,8.422,,,,"photos and further details with Ashton",Note,8.422
,,,,,,,8.422,,,,"Probably same hoard as CH 8.423",Note,8.422
,,,,,,,8.423,,,,"Dispersed. ",Disposition,8.423
,,,,,,,8.423,,,,"photos with R. Ashton",Note,8.423
,,,,,,,8.423,,,,"Probably same hoard as CH 8.422",Note,8.423
,,,,,,,8.424,,,,"In commerce.",Disposition,8.424
,,,,,,,8.426,,,,"in commerce: 930 on London market",Disposition,8.426
,,,,,,,8.426,,,,"G. Hirsch 177 (1993), 340-357 and 359-360 look as if they come from the hoard.",Note,8.426
,,,,,,,8.428,,,,"in trade",Disposition,8.428
,,,,,,,8.431,,,,"in trade",Disposition,8.431
,,,,,,,8.431,,,,"see article in CH VIII - by J. Waren, p. 83 pl. L, 13-15; pl. LI, 1-29; pl. LII, 1-49; pl. LIII, 1-39; pl. LIV, 1-29",Reference,8.431
,,,,,,,8.437,,,,"in commerce, 2 in BM",Disposition,8.437
,,,,,,,8.439,,,,"in trade",Disposition,8.439
,,,,,,,8.439,,,,"Lanz Sale, vol. 30, 26.11.1984, nos. 307-313",Reference,8.439
,,,,,,,8.440,,,,"W. Leschhorn, 'Zur rhodischen Münzprägung im 2. Jh. v. Chr. ein Schatzfund rhodischer Hemidrachmen aus Syrien', JNG 35 (1985), pp. 7-20, pl. i-v.",Reference,8.440
,,,,,,,8.444,,,,"In commerce. R.H.J. Ashton Collection 7. Some casts and details of other coins in Ashton's possession.",Disposition,8.444
,,,,,,,8.444,,,,"R.H.J. Ashton, NC 1992, pp. 1-39, with discussion of IGCH 1335 and CH IV, 57",Reference,8.444
,,,,,,,8.445,,,,"in trade",Disposition,8.445
,,,,,,,8.446,,,,"Anatolian Civilisations Museum, Ankara, inventory no. 38-37-85",Disposition,8.446
,,,,,,,8.446,,,,"M. Tevfik Göktürk, 'The Polatlı hoard', in:Recent Turkish Coin Hoards and Numismatic Studies, pp. 205-212.",Reference,8.446
,,,,,,,8.446,,,,"Pot hoard",Note,8.446
,,,,,,,8.447,,,,"in trade",Disposition,8.447
,,,,,,,8.447,,,,"Münzzentrum Köln 41 (August 1992), nos. 500-550",Reference,8.447
,,,,,,,8.451,,,,"pl. LIX, 11-23",Reference,8.451
,,,,,,,8.452,,,,"in trade, part of larger hoard",Disposition,8.452
,,,,,,,8.452,,,,"pl. LIX 24-25; pl. LX, 1-25",Reference,8.452
,,,,,,,8.459,,,,"in trade",Disposition,8.459
,,,,,,,8.461,,,,"in trade",Disposition,8.461
,,,,,,,8.466,,,,"London market 1983 (not a recent hoard)",Disposition,8.466
,,,,,,,8.471,,,,"in trade",Disposition,8.471
,,,,,,,8.471,,,,"pl. LXIII, 37; pl. LXIV, 1-14; pl. LXV, 1-15; pl. LXVI, 1-17; pl. LXVII, 1-6",Reference,8.471
,,,,,,,8.476,,,,"G. Le Rider, 'Un trésor de Bassit (1978)', BCH 107 (1983) pp. 451-456",Reference,8.476
,,,,,,,8.478,,,,"in trade",Disposition,8.478
,,,,,,,8.478,,,,"see pl. LXVII, 7-14",Reference,8.478
,,,,,,,8.481,,,,"in trade",Disposition,8.481
,,,,,,,8.481,,,,"pl. LXIX, 1-43; pl. LXX, 1-38; pl. LXXI, 1-25",Reference,8.481
,,,,,,,8.481,,,,"R.H.J. Ashton, NC 1992, p. 32",Reference,8.481
,,,,,,,8.482,,,,"in trade",Disposition,8.482
,,,,,,,8.484,,,,"Eregli Museum (505)",Disposition,8.484
,,,,,,,8.484,,,,"O. Özbek, 'The Herakleia Hoard', in C.S. Lightfoot (ed), Recent Turkish Coin Hoards and Numismatic Studies, pp. 275-312.",Reference,8.484
,,,,,,,8.484,,,,"Pot hoard",Note,8.484
,,,,,,,8.485,,,,"Ankara, Anatolian Civilsations Museum",Disposition,8.485
,,,,,,,8.485,,,,"M. Tevfik Göktürk, in R.H.J. Ashton (ed.) ""Studies in Ancient Coinage from Asia Minor"" (forthcoming)",Reference,8.485
,,,,,,,8.495,,,,"in trade",Disposition,8.495
,,,,,,,8.495,,,,"see pl. LXXII, 22-40; pl. LXXIII, 1-12",Reference,8.495
,,,,,,,8.498,,,,"in trade",Disposition,8.498
,,,,,,,8.498,,,,"pl. LXXIII, 13-39; pl. LXXIV, 1-13",Reference,8.498
,,,,,,,8.503,,,,"not formally recorded as a hoard, but their uniform inventory numbers and exotic nature at Amasra strongly suggest they were found together.",Note,8.503
,,,,,,,8.503,,,,"Amasra Museum (inv. nos. S/82 1.26, 28-29, 32, 34)",Disposition,8.503
,,,,,,,8.503,,,,"S. Ireland, Studies in Ancient Coinage from Asia Minor, R. Ashton (ed.) forthcoming",Reference,8.503
,,,,,,,8.505,,,,"Ismir Museum",Disposition,8.505
,,,,,,,8.505,,,,"To be published by P. Aydemir and M.J. Price, in Ashton, R. (ed.) Studies in ancient coinage from Asia Minor (forthcoming)",Reference,8.505
,,,,,,,8.508,,,,"in trade in NY and London",Disposition,8.508
,,,,,,,8.513,,,,"in trade",Disposition,8.513
,,,,,,,8.516,,,,"in commerce",Disposition,8.516
,,,,,,,8.519,,,,"in trade",Disposition,8.519
,,,,,,,8.520,,,,"H.R. Baldus, Arch. Anz (1989.2), pp. 204-6",Reference,8.520
,,,,,,,8.521,,,,"Athens, National Museum",Disposition,8.521
,,,,,,,8.521,,,,"Yalouris, N. ""The Shipwreck of Antikythera"" Ceramic and Iconographic Studies in honour of Alexander Cambitoglou; Mediterranean Archaeology Suppl. 1 (1990), p. 135-6",Reference,8.521
,,,,,,,8.521,,,,"BCH 116 (1992) p. 858",Reference,8.521
,,,,,,,8.524,,,,"Fethiye Museum, inv. no. 6410-6475",Disposition,8.524
,,,,,,,8.524,,,,"see article by R.H.J. Ashton, M. Arslan and A. Dervisagaglu, CH 8 p. 84
pl. LXXX, 1-40; pl. LXXXI, 1-26",Reference,8.524
,,,,,,,8.525,,,,"in trade",Disposition,8.525
