"id","value","type"
"igch0223","Lewis, NC 1962, pp. 294-6","ref"
"igch1722","unknown","disposition"
"igch1722","Information from R. Hazzard, Toronto","note"
"igch1811","R. H. McDowell","disposition"
"igch1811","Information from R. H. McDowell. See no. 1810  above","note"
"igch0076","Athens","disposition"
"igch0076","Newell, NNM 3 (1921), 21 pp., illus.","ref"
"igch2131","Syracuse","disposition"
"igch2131","Gentili, NSc 1954, pp. 70-7, illus.","ref"
"igch2131","Jenkins, ANSCent., pp. 372-3","ref"
"igch2131","Currò Pisanò, AIIN 1962-4, pp. 229-30","ref"
"igch2131","Totals for mints given above are those of  Gentili, but Ravel, Ambracia was not available to him. In 1969 K noted the following 10 varieties: 1 early issue, Ravel 98, 105, 127, 137, 146, 161, 166, 187 (2). The totals for Corinth or Leucas should probably be reduced accordingly","note"
"igch1222","dispersed","disposition"
"igch1222","Sibilian, NZ 1870, p. 333","ref"
"igch0309","unknown","disposition"
"igch0309","Hammond, Epirus (Oxford, 1967), pp. 177, 719","ref"
"igch0309","Robert, Monn. grecques, p. 37, note 7","ref"
"igch0066","Athens 5 (4 Delphi, 1 Athens);  Warren 3 (758-60); Boston 2 (Brett 977-8); Ward 1 (475A); Berlin","disposition"
"igch0066","Svoronos, JIAN 5899, pp. 297-9, illus.","ref"
"igch0066","Regling, Klio 1906, p. 505, note 2","ref"
"igch0066","Raven, NC 1950, pp. 10-11","ref"
"igch0066","The bronze coins of Noe 717 do not belong  to the hd.","note"
"igch1226","dispersed. Kress, Oct. 23,1963,","disposition"
"igch1226","L1-L51","ref"
"igch0070","Athens","disposition"
"igch0070","Lemerle, BCH 1938, p. 446","ref"
"igch2041","Garrucci 102; Strozzi 3 (prob.  Sangiorgi, April 15, 1907, 568, 581, 593); Lloyd 2 (SNG 6, 8, both ex Garrucci)","disposition"
"igch2041","Garrucci, Le monete dell' Italia antica 2 (Rome,  1885), p. 184","ref"
"igch2041","Sambon, Monnaies antiques de l'Italie (Paris, 903) (under varieties listed above)","ref"
"igch2041","Bianchi Bandinelli, StudEtr 1932, p. 552, note 1","ref"
"igch1994","dispersed","disposition"
"igch1994","Sambon, Recherches, pp. 32-3","ref"
"igch1994","Crawford, RRCH 29","ref"
"igch1048","Leningrad","disposition"
"igch1048","To be published by K. Golenko","note"
"igch1888","New York 1 Caulonia; Lloyd 1  Taras (SNG 131)","disposition"
"igch1888","Noe, Caulonia, pp. 59-62, illus. (the pedigree for  no. 36 should read &#x022;Helbing LXX, 1932, 477&#x022;)","ref"
"igch1888","Kraay, NC 1960, pp. 57-65","ref"
"igch1888","Jenkins, Gala, p. 152","ref"
"igch2018","Oxford (ex Evans)","disposition"
"igch2018","Milne, NC 1944, pp. 114-5","ref"
"igch1582","dispersed","disposition"
"igch1582","Seyrig, Trésors du Levant (in press)","ref"
"igch2225","Palermo","disposition"
"igch2225","Gabrici, Monetazione, p. 90","ref"
"igch2225","Tusa Cutroni, AIIN 1956, p. 209, no. XVII","ref"
"igch2225","Possibly part of Agrigento c. 1900, no. 2222  above","note"
"igch0576","Athens 4 as listed","disposition"
"igch0878","Sofia","disposition"
"igch0878","Gerasimov, BIAB 17 (1950), p. 322","ref"
"igch0878","Excavations of the ancient necropolis; one  grave contained 1 tetrob. and 53 AE, and another 7 tetrob. and 2 AE","note"
"igch0374","New York","disposition"
"igch0374","Robinson-Clement, Olynthus IX, pp. 186-90,  illus. (hd. X)","ref"
"igch0374","Some of the tetradr. may belong to hd. IX,  no. 373 above","note"
"igch1988","Chieti","disposition"
"igch1988","Cianfarani, AIIN 1954, p. 159","ref"
"igch0358","Athens 57 (55 ex Empedocles);  New York 19; London 37; Paris 9; Berlin 4; R. H. Hart 10; Jameson 17 (Cat. 1954-70); de Nanteuil 7 (Cat. 758-64); Sotheby Dec. 1, 1924, 43-7; Naville April 4, 1921, 772, 785, 787-9; June 16-17, 1922, 440-3; June 15, 1925, 405-14; Egger Nov. 12, 1913, 468-70","disposition"
"igch0358","Babelon, RN 1922, pp. 10320, illus.","ref"
"igch0358","Regling, ZfN 1924, pl. 3, 24, 26-8 (4 Berlin coins)","ref"
"igch0358","Hill, NC 1924, p. 6 (2 BM coins)","ref"
"igch0358","Noe, NNM 27 (1926), illus.","ref"
"igch0358","Allan, BMQ 1940, pp. 33-4, 95 (12 BM coins)","ref"
"igch0358","Jenkins, The Coinage of Gela (Berlin, 1970),  pp. 65-6","ref"
"igch0358","See no. 355 above","ref"
"igch1278","Nicosia 130; Stockholm 122","disposition"
"igch1278","The Swedish Cyprus Expedition 3 (1937), pp.  292 ff , illus.","note"
"igch1278","Schwabacher, Opuscula Archaeologica 4 (1946),  pp. 25-46, illus.;  NNA 1947, pp. 67-104, illus.","ref"
"igch1278","Schlumberger, L'argent grec, p. 8, no. 11","ref"
"igch1141","Leningrad","disposition"
"igch1141","Kharko, MIA 25 (1952), p. 361","ref"
"igch1141","Zograph, MIA 25 (1952), p. 378, nos. 2552-7","ref"
"igch0355","New York 3 (1 Derrones, 1 Bisaltae, 1 Orrescii) and casts of a few others possibly from the same hd.; Berlin 1 or 2; Belgrade 1; private coll. Greece 1; Jameson 1946, 1948; Pozzi 708; Egger Jan. 15, 1912, 235","disposition"
"igch0355","BlM 1913, p. 5411, illus. (1 Berlin coin)*","ref"
"igch0355","Svoronos, JIAN 1919, pp. 9-10, 12-3, 25, some  illus.","ref"
"igch0355","Saria, NZ 1927, p. 12, illus. (1 Belgrade coin)","ref"
"igch0355","* The 2 octadr. cited in the BlM as part of  the Kaliandra 1913 hd., no. 358 below, otherwise containing only Mende tetradr., almost certainly belong to the find from Ishtib and were probably confused with coins from the Kaliandra hd. by Ritsos who acquired a major portion of both finds","note"
"igch1121","Leningrad (Institute)","disposition"
"igch1121","Information from P. O. Karyszkowski","note"
"igch1694","New York 2; Adda 17","disposition"
"igch1694","Brett, ANSMN 5 (1952), pp. 1-8, illus.","ref"
"igch0170","Athens","disposition"
"igch0170","Varoucha, BCH 1939, p. 288","ref"
"igch0170","The Acanthus tetradr. reported in the BCH  does not belong to this hd. according to M. Oeconomides","note"
"igch0442","Athens","disposition"
"igch0442","Oikonomos, &#x022;Nomismata ton Basileos Kassan- drou,&#x022; A Delt. 1918, pp. 1 ff., illus.","ref"
"igch0442","Praktika 1915, p. 243","ref"
"igch0063","unknown","disposition"
"igch0063","Lambros, Sur six médailles d'or inédites de Philippi (Corfu, 1855), line drawings","ref"
"igch1680","Alexandria 40; Cairo orna- ments and vessels","disposition"
"igch1680","Maspero, JDébats 359 (1905)","ref"
"igch1680","Bulletin de l'Art ancien et moderne 1905, p. 326","note"
"igch1680","Eddé, Boll. di Num. 1905, pp. 129 (= Yehia  hoard), 141","ref"
"igch1680","Comptes-rendus de l'Academie des Inscriptions  1905, p. 535","note"
"igch1680","L'Illustration Jan./1906, p. 63","note"
"igch1680","AA 1906, p. 135","ref"
"igch1680","RN 1906, p. 76","ref"
"igch1680","Edgar, ASA 1906, pp. 205-11","ref"
"igch1680","Svoronos, Ptolemies 4, pp. 404-15, nos. 181-715A","ref"
"igch1680","Milne, JEA 1941, pp. 135-7 (Svoronos references  for 108 specimens)","ref"
"igch1680","Rostovtzeff, SEH, pp. 374, 390 (illus. of gold  ornaments)","ref"
"igch1823","Kabul","disposition"
"igch1823","Audoin-Bernard, Comptes rendus de l'Académie des Inscriptions 1971, pp. 435-46, illus.","ref"
"igch0589","Vienna","disposition"
"igch0589","Seidl, Oester. Blätter, f. Lit. u. Kunst. 1846,  p. 1058; AfÖG 9 (1853), p. 165","ref"
"igch2344","unknown","disposition"
"igch2344","Martin, Saitabi 18 (1968), p. 49","ref"
"igch0624","Bucharest (Inst. Arch.) 2","disposition"
"igch0624","Mitrea, Dacia 1958, p. 496","ref"
"igch2264","London 17; New York 3;  Lewis 3","disposition"
"igch2264","Jenkins-Lewis, Carthage, p. 56, hoard III, pp.  78-94, illus.","ref"
"igch2264","Note in ANS","ref"
"igch0312","Athens","disposition"
"igch0312","Information from M. Oeconomides","note"
"igch0312","One lot of 34 coins (12 Acarnania, 22  Oenidae) reached Athens in 1959 from Matsouki; another lot (61 Acarnania, 39 Oeniadae) was said to have been found at Gorgovli in the same general region c. 1960. The two would seem to be sections of the same find","note"
"igch0989","Kiev","disposition"
"igch0989","Information from P. O. Karyszkowski","note"
"igch0603","E. Zehan, Brasov 6","disposition"
"igch0603","Mitrea, Dacia 1961, p. 586","ref"
"igch0692","dispersed","disposition"
"igch0692","Gerasimov, BIAB 13 (1939), p. 344","ref"
"igch0055","Athens 1 (Larissa)","disposition"
"igch0055","Varoucha, BCH 5960, p. 487, illus. (1)","ref"
"igch0055","Possibly the same hd. as no. 52 above","note"
"igch1916","Vlasto 9 (Cat. 243 [= J. Hirsch  Nov. 9, 1910, 19], 280, 292, 350, 375, 380 [= J. Hirsch Nov. 9, 1910, 25], 413-5); New York 19-21 (1 Taras: ,SNG 860; 3 Thurium: SNG 992, 1035, 1043; 1 Corcyra?; 6-7 Corinth: R. 301, 306?, 309, 346, 370, as 972, 974; 6-7 Leucas: BMC 31 [= J. Hirsch May 23, 1910, 524]?, 33, 35, 38, 39, 42 [2]; 2 Ambracia: R. 52, 95","disposition"
"igch1916","Vlasto, NNM 15 (1922), pp. 204-5","ref"
"igch1916","Kraay, ANSMN 16 (1970), pp. 23-30 (for details  of Pegasi)","ref"
"igch1916","The Vlasto Cat. records the above coins as  from the Taranto 1908 hd. (Noe 1051 = no. 2000); that hd., however, contained nothing but Taras, Per. VIII. Nos. 413-5 are recorded as from &#x022;the 1908 Taranto find (Ionian Shore find). Noe 1051.&#x022; It is evident that there is a confusion between two finds made in the same year, but concealed at very different dates","note"
"igch1916","In his copy of J. Hirsch May 23, 1910  Evans noted &#x022;Hirsch Find&#x022; against Thurium nos. 281, 285-91, 294, 296 and Corcyra no. 496","note"
"igch0409","unknown","disposition"
"igch0409","Seraphin, KVSL 22 (1899), pp. 77-80 (Zeiden)","ref"
"igch1518","unknown","disposition"
"igch1518","BlM 1900, nos. 8-9, p. 137","ref"
"igch1448","New York 4","disposition"
"igch1448","Newell, WSM, index of hoards, s.v. &#x022;Ciani's  Hoard&#x022;","ref"
"igch0703","dispersed","disposition"
"igch0703","Gerasimov, BIAB 11 (1937), p. 323","ref"
"igch1708","New York 15; Florange-Ciani Oct. 16, 1923, pl. 3, 63-5, 73-82","disposition"
"igch1708","Newell, NNM 33 (1927), pp. 14-31, illus. (Ptole- my VIII tetradr. given as Paphus, p. 22, but Newell later regarded these as of Alexandreia, see Standard Ptol. Silver, p. 11","ref"
"igch2134","Syracuse","disposition"
"igch2134","Currò Pisanò, AIIN 1962-4, p. 224","ref"
"igch0655","Budapest","disposition"
"igch0655","Kerekes, NK 1915, p. 70","ref"
"igch1879","Vlasto 1 Taras (Cat. 66)","disposition"
"igch1879","Vlasto, NNM 15 (1922), p. 216","ref"
"igch1754","unknown","disposition"
"igch1754","Found in the temple of Nabu by an archaeological  expedition of the Oriental Institute, Chicago","note"
"igch0991","Kiev","disposition"
"igch0991","Information from P. O. Karyszkowski","note"
"igch2199","unknown","disposition"
"igch2199","Orsi, MonAnt 1906, p. 420","ref"
"igch2199","Jenkins, Gela, p. 152","ref"
"igch0238","unknown","disposition"
"igch0238","Sterea Hellas (Feb., 1969), pp. 33-5, illus.","ref"
"igch1420","Istanbul","disposition"
"igch1420","Oçlay, Istanbul ArkMüzYilligi 1969, pp. 289- 304, illus.","ref"
"igch1420","25 more coins, mostly from the Imperial  period, were included in the hd. but are undoubtedly intrusive","ref"
"igch0323","Athens","disposition"
"igch0323","Information from M. Oeconomides","note"
"igch0167","M. Wallace, Toronto","disposition"
"igch0167","Wallace NNM 134 (1956), pp. 59-61, nos. 13-15","note"
"igch0167","These three lots are so similar in composi- tion, date of discovery and date of burial that they have been combined as a single entry","note"
"igch1258","Ankara (inv. no. 1444)","disposition"
"igch1258","Taner, Belleten 1966, pp. 173-80, illus.","ref"
"igch1758","dispersed","disposition"
"igch1758","Information from H. Seyrig; record of varieties in  ANS","note"
"igch0722","Kishinev 263; Moscow 1, priv.  coll. 26","disposition"
"igch0722","Nudel'man, Trudy Gosudarstvennogo istoriko- kraevedcheskogo muzeia Moldavskoî SSR 2 (Kishinev, 1969), pp. 121-8 NSf 4 (1971), pp. 78-82","ref"
"igch0722","Zagainaîlo and Nudel'man, &#x022;Dorotskiî klad  drevnegrecheskikh serebrianykh monet IV v. do. i.e.,&#x022; MASP 7 (1971), pp. 122-37","note"
"igch1298","London 7; Vienna some","disposition"
"igch1298","Münsterberg, NZ 1915, pp. 111-5","ref"
"igch1298","Hill, NC 1917, pp. 5 f., illus.","ref"
"igch2162","Syracuse 125","disposition"
"igch2162","Orsi, AttiMemIIN 1932, pp. 38-46, illus.","ref"
"igch2162","Currò Pisanò, AIIN 1962-4, pp. 231, 238","ref"
"igch2162","Orsi locates at Palermo, but currently the  hd. is at Syracuse (Currò, AIIN 1962-4)","note"
"igch0211","Tiranë","disposition"
"igch0211","Information from H. Ceka","note"
"igch2080","Syracuse 7 (2 Acragas, 2 Mes- sana, 3 Syracuse); the others listed above went to the land owner","disposition"
"igch2080","NSc 1915, p. 226","ref"
"igch2080","Currò Pisanò, AIIN 1962-4, pp. 224, 239","ref"
"igch2080","Jenkins, Gela, p. 157","ref"
"igch2080","None of the coins preserved at Syracuse  requires a date of burial later than 470-65 B.C.","note"
"igch1964","Vlasto 1 (Cat. 702); Lloyd 1  (SNG 199, Taras)","disposition"
"igch1964","Evans, NC 1889, pp. 126-7","ref"
"igch1964","Stazio, AIIN 1965-7, pp. 56-7","ref"
"igch1736","Baku","disposition"
"igch1736","Pakhomov II, no. 314","ref"
"igch1736","Zograph, &#x022;Nakhodky,&#x022; nos. 67, 73","ref"
"igch1516","Istanbul 710?; Vienna c. 270","disposition"
"igch1516","Voetter, A manuscript account of find in Vienna Cabinet. Transscript of this MS by E. T. Ne- well at ANS (949 spec.)","ref"
"igch1516","Newell, Tyrus, p. 10; Sidon-Ake, p. 58","ref"
"igch1047","museum material lost during  war","disposition"
"igch1047","Shkorpil, IAK 35 (1910), pp. 17-18, no. 25","ref"
"igch1105","dispersed","disposition"
"igch1105","Burachkov, p. 19","ref"
"igch1105","Possibly from the same hd. as nos. 1068 or  1069 above","note"
"igch1390","Istanbul","disposition"
"igch1390","Noe (from Regling) records 116 (Amisus  106, Sinope 8, Dia 2)","note"
"igch0403","dispersed","disposition"
"igch0403","Gerasimov, BIAB 13 (1939), p. 344","ref"
"igch0078","Formerly A. Petsalis; Athens  17 (ob. or smaller of Phocis, Orcho- menus, Tanagra, Thebes, Sicyon)","disposition"
"igch0078","Seltman, The Temple Coins of Olympia (Cam- bridge, 1921), pp. 111-3","ref"
"igch0861","Stara Zagora 148 Philip, 51 Alexander, Larissa and Antiochus","disposition"
"igch0861","Gerasimov, BIAB 21 (1957), p. 324; 26 (1963),  p. 260","ref"
"igch0839","Nova Zagora","disposition"
"igch0839","Gerasimov, BIAB 30 (1967), p. 188","ref"
"igch1772","London 77; New York 20;  Beirut (American Univ.); Damascus","disposition"
"igch1772","Newell, ESM and WSM, indices of hoards, s.v.  Urfa","ref"
"igch1772","Jenkins, ANSMN 13 (1967), pp. 55-6","ref"
"igch1772","Price, NC 1969, pp. 10-4, illus. (the N of the  record refers to Newell's list, not to his acquisitions)","ref"
"igch2158","London 10","disposition"
"igch2158","Robinson, NC 1937, p. 237","ref"
"igch1001","(formerly Grand Duke Alex- ander Mikhailovich coll.) Leningrad 1;","disposition"
"igch1001","Odessa 1; London 1; Boston 1","note"
"igch1001","Shtern, ZOOID 25 (1904), &#x022;Protokoly,&#x022; p. 54","ref"
"igch1001","Bertier de la Garde, NS (Russian) 1911, p. 58;  1913, p. 127","ref"
"igch1001","Minns, p. 487","ref"
"igch1001","Karyszkowski, SA 1960, no. 1, pp. 179-95 (com- prehensive treatment with detailed bibli- ography)","ref"
"igch1001","Publications of individual hd. coins: 1) CAH,  Plates, III, p. 18, f = Mushmov, Sbornik Boris Diakovich (Plovdiv, 1927), p. 205, no. 27 = NC 1926, p. 117, no. 2; 2) Ratto Apr. 4, 1927, 941; 3) Baranowsky Feb. 25, 1931, 490; 4) Boston MFA II, 79; 5) Naville July 3, 1933, 1086; 6) Zograph, pl. 32, 1; 7) Sal'nikov, Pratsi Odes'kogo Derzhavnogo Universiteta, vol. 149, issue 7 (Odessa, 1959), p. 143, no. 3; 8) Karyszkowski, SA 1960 (citing coins in publications mentioned in 1, 4, 6, 7)","note"
"igch1935","Metaponto 33","disposition"
"igch1935","Lo Porto, NSc 1966, pp. 184-5, illus.","ref"
"igch2208","dispersed","disposition"
"igch2208","Tusa Cutroni, Kokalos 1967, pp. 78-9","ref"
"igch2208","Jenkins-Lewis, Carthage, pp. 35, 130","ref"
"igch2208","Possibly from Termini Imerese","note"
"igch0081","unknown","disposition"
"igch0081","Record by E. T. Newell on file in ANS","note"
"igch1341","Rhodes","disposition"
"igch1341","Oeconomides, A Delt 1966, p. 456, illus.","ref"
"igch1566","dispersed","disposition"
"igch1566","Seyrig, RN 1964, pp. 45-7","ref"
"igch1277","dispersed","disposition"
"igch1277","Information from H. Seyrig","note"
"igch1035","Tiflis","disposition"
"igch1035","Information from D. G. Kapanadze","note"
"igch1354","Ankara (inv. no. 1138)","disposition"
"igch1354","Information from Saadet Taner","note"
"igch1387","dispersed","disposition"
"igch0960","unknown","disposition"
"igch0960","Tacchella, RN 1898, pp. 214-5","ref"
"igch0960","Tacchella includes as part of the same lid.  the thousand 4th cent. fractions of no. 738 above but it seems almost certain that two separate finds are involved","note"
"igch0599","Deva","disposition"
"igch0599","Téglás, OTTÉ 1887, p. 71","ref"
"igch0599","Mitrea, ED 10 (1945), p. 88, no. 13","ref"
"igch0013","London 20; New York 11;  Copenhagen 2","disposition"
"igch0013","Allan, BMQ 1940, pp. 95-6, illus.","ref"
"igch0013","Lederer, Neue Beiträge zur antihen Münzkunde,","ref"
"igch0013","pp. 43-7, illus. (5 additional specimens)","ref"
"igch0013","Information from W. Schwabacher cites c.100.","note"
"igch0013","Photos of 35 in ANS","ref"
"igch0387","Cavalla?","disposition"
"igch0387","Daux, BCH 1960, p. 800","ref"
"igch0387","Hood, Archaeological Reports, 1960-1, p. 20  (identifies the coins as those of Alexander III)","ref"
"igch1175","dispersed","disposition"
"igch0171","Athens","disposition"
"igch0171","Lambropoulos, ArchEph 1896, pp. 137-200 (well  illus.)","ref"
"igch0171","Hackens, Antidorum W. Peremans, pp. 91-2","ref"
"igch0267","Athens","disposition"
"igch0267","Oeconomides, Archaiologike Analecta ex Athenōn  1968, Part II, pp. 73-6, illus.","ref"
"igch0267","See no. 260 above","ref"
"igch1973","Riccio 6; Lloyd 1 (SNG 656);  Syracuse 1; Hess-Leu, Apr. 2, 1958, 160 (erroneously 'Cacace')","disposition"
"igch1973","Orsi, RIN 1908, pp. 339-40","ref"
"igch1973","Currò Pisanò AIIN 1962-4, pp. 232, 238 (giving  date of discovery as 1904)","note"
"igch2224","Syracuse","disposition"
"igch2224","Currò Pisanò, AIIN 1962-4, p. 224","ref"
"igch2224","Possibly part of Agrigento c. 1900, no. 2222  above","note"
"igch1308","Athens 209","disposition"
"igch1308","BCH 1954, p. 98; 1955, p. 210","ref"
"igch2387","unknown","disposition"
"igch2387","Blanchet, Traité, p. 597, no. 248","ref"
"igch1396","ANS 5 (SNGBerry 150-4)","disposition"
"igch1396","List of varieties and photos of 3 additional coins  (1 Philip II, 2 Philip III) in ANS","note"
"igch1945","Reggio","disposition"
"igch1945","Procopio, AIIN 1954, p. 166","ref"
"igch1945","Jenkins-Lewis, Carthage, p. 58","ref"
"igch1369","Istanbul","disposition"
"igch1369","Seyrig, RN 1963, pp. 26, 49 f.","ref"
"igch0375","Athens","disposition"
"igch0375","Robinson-Clement, Olynthus IX, pp. 179-83,  illus. (hd. VIII)","ref"
"igch1698","Cairo","disposition"
"igch1698","Milne, Annals of Archaeology and Anthropology  1908, p. 32 (Svoronos references)","ref"
"igch0953","Varna","disposition"
"igch0953","Gerasimov, BIAB 15 (1946), p. 242","ref"
"igch2357","Paris (1/3); Montpellier (1/3)","disposition"
"igch2357","Majurel, et al., Ogam 1966, pp. 275-88, illus.  (1890 specimens); 1967, p. 397 (c. 100 more specimens)","ref"
"igch2287","Cagliari","disposition"
"igch2287","Boehringer, AA 1929, p. 161","ref"
"igch2287","Taramelli, NSc 1930, pp. 105-10","ref"
"igch0165","M. Wallace, Toronto","disposition"
"igch0165","Although the two lots are listed separately,  Wallace indicates his belief that they are from the same hd. In connection with no. 11, he describes other material said to have been included in the find but points out that this is highly unlikely","note"
"igch1450","New York 37 (Lysimachus 28,  Attalus I 1, Antiochus II 6, An- tiochus III 2)","disposition"
"igch1450","Seyrig, RN 1963, p. 26, note 1 (210-205 B.C.). The  Pergamene series includes coins of Eu- menes II","ref"
"igch1450","Further information from H. Seyrig","note"
"igch0122","Athens 30 as listed (the record  differs slightly from the publications)","disposition"
"igch0122","Varoucha, A Delt 1963, Chronika, p. 6, illus.  (4 coins)","ref"
"igch0122","Oeconomides, A Delt 1969, Chronika, p. 8, illus.  (3 coins)","ref"
"igch2202","Syracuse","disposition"
"igch2202","Currò Pisanò AIIN 1962-4, p. 226","note"
"igch0365","New York 2; Glendining March 5, 1970, 276-82","disposition"
"igch0365","Details of listed pieces on file in BM; photos of  32 in ANS","note"
"igch1519","dispersed","disposition"
"igch1519","Information from Münzen and Medaillen, Basel","note"
"igch1455","London 16; New York 65","disposition"
"igch1455","Hill, NC 1929, pp. 73-6","ref"
"igch1455","List of varieties in ANS","note"
"igch1455","To be published by F. Kleiner","note"
"igch0326","Athens","disposition"
"igch0326","Constantopoulos, BCH 1937, p. 443","ref"
"igch1022","Tiflis II; Batumi (Adzhar  State Mus.) 149","disposition"
"igch1022","Golenko, SA 1957, pp. 290-8;  VDI 1961, no. 1,  pp. 42-59","ref"
"igch0900","Varna","disposition"
"igch0900","Gerasimov, BullSocArchVarna 10 (1956), p. 73","ref"
"igch1687","dispersed","disposition"
"igch1687","Eddé, Boll. di Num. 1905, p. 129","ref"
"igch0276","Athens","disposition"
"igch0276","Varoucha, BCH 1956, pp. 227-8, some illus.","ref"
"igch0276","Thompson, Athens, pp. 526 ff.","ref"
"igch0276","Price, NC 1964, pp. 27-36","ref"
"igch0478","London 60; New York 3 (1 ex  Berry); private colls.","disposition"
"igch0478","Thompson, Athens, pp. 129, 308, 475; NC 1962, p. 312","ref"
"igch0478","Lewis, NC 1962, p. 279","ref"
"igch0111","dispersed","disposition"
"igch0111","Two letters from W. Schwabacher reporting what  seems to be essentially the same hd.; in one case the findspot is given as &#x022;near Crannon&#x022; and in the other as &#x022;near Larissa&#x022;","note"
"igch1677","unknown","disposition"
"igch1677","Svoronos, Ptolemies 4, pp. 404-7, nos. 183-268  (listed as &#x022;Egyptian find&#x022;)","ref"
"igch1677","Possibly part of the Abu Hommos 1905  hoard (cf. no. 1726 below)","note"
"igch0332","Herakleion 23; New York 70;  Boston 1 (Lyttus); Paris 1 (Lyttus)","disposition"
"igch0332","Thompson, Athens (Cretan Hoard II), pp. 511-3,  illus.; NC 1962, pp. 316-7","ref"
"igch0332","Lewis, NC 1962, p. 282","ref"
"igch0332","Le Rider, Monn. crét., pp. 269-85, illus.","ref"
"igch0332","Price, NC 1968, pp. 9-10","ref"
"igch0332","Pollak, ANSMN 16 (1970), pp. 54-5, notes 24,27","ref"
"igch2149","Palermo","disposition"
"igch2149","Tusa Cutroni, AIIN 1956, p. 207, no. VI;   1958-9, pp. 167-77","ref"
"igch0398","Sofia 21","disposition"
"igch0398","Gerasimov, BIAB 13 (1939), p. 342","ref"
"igch1914","Taranto","disposition"
"igch1914","Quagliati, NSc 1906, pp. 215-7","ref"
"igch2313","Barcelona (with some excep- tions)","disposition"
"igch2313","Pujol y Camps, MNE 1872-3, pp. 16-20","ref"
"igch2313","Delgado, MAE III, pp. 174, 594","ref"
"igch2313","Zobel y Zangroniz, MNE 1877-9, pp. 113-7","ref"
"igch2313","Botet y Siso, Les Monedes Catalanes I (Barcelona,  1908), pp. xxxv-xxxviii","ref"
"igch2313","Amoros, MEAD, p. 49 and passim","ref"
"igch2313","Garcia y Bellido, Hispania Graeca II (Barcelona,  1948), pp. 223-4","ref"
"igch2313","de Guadan, MPER, pp. 90-6","ref"
"igch0254","Athens 150; New York 51;  Oxford 23; London ?","disposition"
"igch0254","Seager, NNM 23 (1924)","ref"
"igch0254","Robinson, NC 1928, pp. 172 ff.","ref"
"igch0254","Milne, NC 1943, p. 84 (Oxford lot ex Evans)","ref"
"igch0254","Robert, Études, pp. 197-8","ref"
"igch1124","Leningrad (the greater part,  merged with main coll.)","disposition"
"igch1124","Giel, Zapiski Russkogo Arkheologicheskogo Obsh- chestva, N.S. 5 (St. Petersburg, 1892), pp. 350-1","ref"
"igch1124","Zograph, p. 180, note (doubts that the AE belongs)","ref"
"igch2165","Photiades Pacha","disposition"
"igch2165","Hoffman, May 19, 1890, lots 572-3","ref"
"igch2165","Mavrogordato, NC 1908, pp. 197-201, illus.","ref"
"igch2165","Newell, NNM 82 (1938), pp. 59-60, illus.","ref"
"igch1877","dispersed","disposition"
"igch1877","Information about what in each case appears to  be the same hd. is derived from several sources: a list of 49 varieties (as above) in the ANS; a report in the ANS of coins seen on the market in 1950; a group of coins belonging to Col. G. dc Laval, &#x022;acquired from an Italian traveller around 1950,&#x022; and photographed at Stockholm in the early fifties; uniform color suggested that they were from a hd. These coins reappeared in Glendining s. Apr. 18, 1955 (Laval), lots 99-104 (Metapontum), 116-8 and the third- stater of 119 (Sybaris), 133 (Caulonia) and 135 (Croton); 117 is now at Oxford (SNG 844)","note"
"igch1877","These three sources all appear to relate to a single  large hd. containing only the earlier incuse issues","note"
"igch0249","Athens","disposition"
"igch0249","Varoucha, BCH 1938, p. 447 (no details)","ref"
"igch0798","dispersed","disposition"
"igch0798","Gerasimov, BIAB 15 (1946), p. 241","ref"
"igch1955","Berlin as above; New York 1","disposition"
"igch1955","(Ptolemy I) probably from this hd.","note"
"igch1955","Friedlaender, ZfN 1880, pp. 227-8 (monograms  of Ptolemy on pl. 4); ZfN 1881, p. 6 (disposal of some Ptolemy st.)","ref"
"igch1955","von Duhn, ZfN 1880, pp. 312-4 (lists Alexander  and Philip st.)","ref"
"igch1465","Sotheby, July 12, 1852, 254-61  and probably 359-66","disposition"
"igch1465","de Luynes, RN 1845, pp. 261-5, illus.","ref"
"igch1465","Burgon, NC 1845-6, pp. 69 ff., illus.","ref"
"igch1465","Hoffmann, Le numismate 1862-4, nos. 2532-4","ref"
"igch1465","Bunbury, NC 1883, p. 199, note 21","ref"
"igch0757","dispersed","disposition"
"igch0757","Gerasimov, BIAB 8 (1934), p. 472","ref"
"igch0803","dispersed","disposition"
"igch0803","Mouchmov, BIAB 7 (1932-3), p, 424","ref"
"igch1180","London 2; Paris 2; New York 1  (= NC 1936, no. 12)","disposition"
"igch1180","Robinson, NC 1936, 265-80, illus.","ref"
"igch1180","Schlumberger, L'argent grec, p. 8, no. 2","ref"
"igch0354","Sotheby, July 12, 1852, 34-42","disposition"
"igch0354","Noe 540 (based on Borrell, NC 1841, p. 139)  would seem to be part of the same hd. as Noe 893","note"
"igch1309","Oxford","disposition"
"igch1309","Milne, NC 1912, pp. 14-9, illus.","ref"
"igch2334","Cuenca (except Rhodes, Sae- tabi and 1 Carthage)","disposition"
"igch2334","Mateu y Llopis, Ampurias 1951, pp. 238-9, illus.","ref"
"igch2334","Almagro Basch, NH 1958, pp. 5-14, illus.; 1960,  pp. 213-4, illus.","ref"
"igch2334","Almagro Basch-Almagro Gorbea, Numisma 71  (1964), pp. 25-47, illus.","note"
